run_id,row_index,perm_id,alt_order,response
0,0,0,"['alt1', 'alt2', 'alt3']",A > B > C
0,0,1,"['alt1', 'alt3', 'alt2']",C > B > A
0,0,2,"['alt2', 'alt1', 'alt3']",B > C > A
0,0,3,"['alt2', 'alt3', 'alt1']",C > B > A
0,0,4,"['alt3', 'alt1', 'alt2']",C > B > A
0,0,5,"['alt3', 'alt2', 'alt1']",B > C > A
0,1,0,"['alt1', 'alt2', 'alt3']",C > B > A
0,1,1,"['alt1', 'alt3', 'alt2']",A > B > C
0,1,2,"['alt2', 'alt1', 'alt3']",A > C > B
0,1,3,"['alt2', 'alt3', 'alt1']",A > B > C
0,1,4,"['alt3', 'alt1', 'alt2']",A > B > C
0,1,5,"['alt3', 'alt2', 'alt1']",A > B > C
0,2,0,"['alt1', 'alt2', 'alt3']",A > B > C
0,2,1,"['alt1', 'alt3', 'alt2']",C > A > B
0,2,2,"['alt2', 'alt1', 'alt3']",A > B > C
0,2,3,"['alt2', 'alt3', 'alt1']",C > B > A
0,2,4,"['alt3', 'alt1', 'alt2']",B > A > C
0,2,5,"['alt3', 'alt2', 'alt1']",C > B > A
0,3,0,"['alt1', 'alt2', 'alt3']",B > A > C
0,3,1,"['alt1', 'alt3', 'alt2']",C > B > A
0,3,2,"['alt2', 'alt1', 'alt3']",C > B > A
0,3,3,"['alt2', 'alt3', 'alt1']",A > B > C
0,3,4,"['alt3', 'alt1', 'alt2']",C > A > B
0,3,5,"['alt3', 'alt2', 'alt1']",C > B > A
0,4,0,"['alt1', 'alt2', 'alt3']",B > A > C
0,4,1,"['alt1', 'alt3', 'alt2']",C > B > A
0,4,2,"['alt2', 'alt1', 'alt3']",A > B > C
0,4,3,"['alt2', 'alt3', 'alt1']",A > B > C
0,4,4,"['alt3', 'alt1', 'alt2']",C > B > A
0,4,5,"['alt3', 'alt2', 'alt1']",B > A > C
0,5,0,"['alt1', 'alt2', 'alt3']",C > B > A
0,5,1,"['alt1', 'alt3', 'alt2']",C > B > A
0,5,2,"['alt2', 'alt1', 'alt3']",C > B > A
0,5,3,"['alt2', 'alt3', 'alt1']",C > B > A
0,5,4,"['alt3', 'alt1', 'alt2']",C > B > A
0,5,5,"['alt3', 'alt2', 'alt1']",B > C > A
0,6,0,"['alt1', 'alt2', 'alt3']",A > C > B
0,6,1,"['alt1', 'alt3', 'alt2']",C > B > A
0,6,2,"['alt2', 'alt1', 'alt3']",A > B > C
0,6,3,"['alt2', 'alt3', 'alt1']",C > B > A
0,6,4,"['alt3', 'alt1', 'alt2']",A > B > C
0,6,5,"['alt3', 'alt2', 'alt1']",A > B > C
0,7,0,"['alt1', 'alt2', 'alt3']",C > B > A
0,7,1,"['alt1', 'alt3', 'alt2']",C > B > A
0,7,2,"['alt2', 'alt1', 'alt3']",C > A > B
0,7,3,"['alt2', 'alt3', 'alt1']",A > B > C
0,7,4,"['alt3', 'alt1', 'alt2']",A > C > B
0,7,5,"['alt3', 'alt2', 'alt1']",A > B > C
0,8,0,"['alt1', 'alt2', 'alt3']",B > A > C
0,8,1,"['alt1', 'alt3', 'alt2']",C > B > A
0,8,2,"['alt2', 'alt1', 'alt3']",A > C > B
0,8,3,"['alt2', 'alt3', 'alt1']",A > C > B
0,8,4,"['alt3', 'alt1', 'alt2']",C > B > A
0,8,5,"['alt3', 'alt2', 'alt1']",B > A > C
0,9,0,"['alt1', 'alt2', 'alt3']",C > B > A
0,9,1,"['alt1', 'alt3', 'alt2']",B > A > C
0,9,2,"['alt2', 'alt1', 'alt3']",C > B > A
0,9,3,"['alt2', 'alt3', 'alt1']",B > A > C
0,9,4,"['alt3', 'alt1', 'alt2']",C > B > A
0,9,5,"['alt3', 'alt2', 'alt1']",A > B > C
1,0,0,"['alt1', 'alt2', 'alt3']",B > A > C
1,0,1,"['alt1', 'alt3', 'alt2']",A > C > B
1,0,2,"['alt2', 'alt1', 'alt3']",A > B > C
1,0,3,"['alt2', 'alt3', 'alt1']",A > C > B
1,0,4,"['alt3', 'alt1', 'alt2']",C > B > A
1,0,5,"['alt3', 'alt2', 'alt1']",C > B > A
1,1,0,"['alt1', 'alt2', 'alt3']",A > B > C
1,1,1,"['alt1', 'alt3', 'alt2']",C > B > A
1,1,2,"['alt2', 'alt1', 'alt3']",A > C > B
1,1,3,"['alt2', 'alt3', 'alt1']",A > B > C
1,1,4,"['alt3', 'alt1', 'alt2']",A > B > C
1,1,5,"['alt3', 'alt2', 'alt1']",A > B > C
1,2,0,"['alt1', 'alt2', 'alt3']",B > A > C
1,2,1,"['alt1', 'alt3', 'alt2']",A > C > B
1,2,2,"['alt2', 'alt1', 'alt3']",B > A > C
1,2,3,"['alt2', 'alt3', 'alt1']",C > B > A
1,2,4,"['alt3', 'alt1', 'alt2']",B > A > C
1,2,5,"['alt3', 'alt2', 'alt1']",A > B > C
1,3,0,"['alt1', 'alt2', 'alt3']",B > A > C
1,3,1,"['alt1', 'alt3', 'alt2']",A > C > B
1,3,2,"['alt2', 'alt1', 'alt3']",A > B > C
1,3,3,"['alt2', 'alt3', 'alt1']",A > B > C
1,3,4,"['alt3', 'alt1', 'alt2']",C > B > A
1,3,5,"['alt3', 'alt2', 'alt1']",B > A > C
1,4,0,"['alt1', 'alt2', 'alt3']",B > A > C
1,4,1,"['alt1', 'alt3', 'alt2']",C > B > A
1,4,2,"['alt2', 'alt1', 'alt3']",A > B > C
1,4,3,"['alt2', 'alt3', 'alt1']",A > B > C
1,4,4,"['alt3', 'alt1', 'alt2']",C > B > A
1,4,5,"['alt3', 'alt2', 'alt1']",A > B > C
1,5,0,"['alt1', 'alt2', 'alt3']",C > B > A
1,5,1,"['alt1', 'alt3', 'alt2']",C > B > A
1,5,2,"['alt2', 'alt1', 'alt3']",C > B > A
1,5,3,"['alt2', 'alt3', 'alt1']",C > B > A
1,5,4,"['alt3', 'alt1', 'alt2']",C > B > A
1,5,5,"['alt3', 'alt2', 'alt1']",C > B > A
1,6,0,"['alt1', 'alt2', 'alt3']",A > B > C
1,6,1,"['alt1', 'alt3', 'alt2']",C > B > A
1,6,2,"['alt2', 'alt1', 'alt3']",A > B > C
1,6,3,"['alt2', 'alt3', 'alt1']",A > B > C
1,6,4,"['alt3', 'alt1', 'alt2']",A > B > C
1,6,5,"['alt3', 'alt2', 'alt1']",A > B > C
1,7,0,"['alt1', 'alt2', 'alt3']",C > B > A
1,7,1,"['alt1', 'alt3', 'alt2']",B > A > C
1,7,2,"['alt2', 'alt1', 'alt3']",C > A > B
1,7,3,"['alt2', 'alt3', 'alt1']",A > B > C
1,7,4,"['alt3', 'alt1', 'alt2']",A > C > B
1,7,5,"['alt3', 'alt2', 'alt1']",A > B > C
1,8,0,"['alt1', 'alt2', 'alt3']",B > A > C
1,8,1,"['alt1', 'alt3', 'alt2']",C > B > A
1,8,2,"['alt2', 'alt1', 'alt3']",A > C > B
1,8,3,"['alt2', 'alt3', 'alt1']",A > C > B
1,8,4,"['alt3', 'alt1', 'alt2']",C > B > A
1,8,5,"['alt3', 'alt2', 'alt1']",B > A > C
1,9,0,"['alt1', 'alt2', 'alt3']",C > B > A
1,9,1,"['alt1', 'alt3', 'alt2']",B > C > A
1,9,2,"['alt2', 'alt1', 'alt3']",C > B > A
1,9,3,"['alt2', 'alt3', 'alt1']",B > A > C
1,9,4,"['alt3', 'alt1', 'alt2']",C > B > A
1,9,5,"['alt3', 'alt2', 'alt1']",C > B > A
2,0,0,"['alt1', 'alt2', 'alt3']",B > A > C
2,0,1,"['alt1', 'alt3', 'alt2']",C > B > A
2,0,2,"['alt2', 'alt1', 'alt3']",A > B > C
2,0,3,"['alt2', 'alt3', 'alt1']",A > C > B
2,0,4,"['alt3', 'alt1', 'alt2']",C > B > A
2,0,5,"['alt3', 'alt2', 'alt1']",A > B > C
2,1,0,"['alt1', 'alt2', 'alt3']",A > B > C
2,1,1,"['alt1', 'alt3', 'alt2']",A > B > C
2,1,2,"['alt2', 'alt1', 'alt3']",A > C > B
2,1,3,"['alt2', 'alt3', 'alt1']",A > B > C
2,1,4,"['alt3', 'alt1', 'alt2']",A > B > C
2,1,5,"['alt3', 'alt2', 'alt1']",A > B > C
2,2,0,"['alt1', 'alt2', 'alt3']",A > B > C
2,2,1,"['alt1', 'alt3', 'alt2']",C > A > B
2,2,2,"['alt2', 'alt1', 'alt3']",A > B > C
2,2,3,"['alt2', 'alt3', 'alt1']",A > C > B
2,2,4,"['alt3', 'alt1', 'alt2']",B > A > C
2,2,5,"['alt3', 'alt2', 'alt1']",C > B > A
2,3,0,"['alt1', 'alt2', 'alt3']",B > A > C
2,3,1,"['alt1', 'alt3', 'alt2']",C > B > A
2,3,2,"['alt2', 'alt1', 'alt3']",A > B > C
2,3,3,"['alt2', 'alt3', 'alt1']",A > B > C
2,3,4,"['alt3', 'alt1', 'alt2']",C > B > A
2,3,5,"['alt3', 'alt2', 'alt1']",A > B > C
2,4,0,"['alt1', 'alt2', 'alt3']",A > B > C
2,4,1,"['alt1', 'alt3', 'alt2']",C > B > A
2,4,2,"['alt2', 'alt1', 'alt3']",A > B > C
2,4,3,"['alt2', 'alt3', 'alt1']",A > B > C
2,4,4,"['alt3', 'alt1', 'alt2']",C > B > A
2,4,5,"['alt3', 'alt2', 'alt1']",B > A > C
2,5,0,"['alt1', 'alt2', 'alt3']",B > C > A
2,5,1,"['alt1', 'alt3', 'alt2']",C > B > A
2,5,2,"['alt2', 'alt1', 'alt3']",A > B > C
2,5,3,"['alt2', 'alt3', 'alt1']",C > B > A
2,5,4,"['alt3', 'alt1', 'alt2']",C > B > A
2,5,5,"['alt3', 'alt2', 'alt1']",B > C > A
2,6,0,"['alt1', 'alt2', 'alt3']",C > B > A
2,6,1,"['alt1', 'alt3', 'alt2']",A > B > C
2,6,2,"['alt2', 'alt1', 'alt3']",A > B > C
2,6,3,"['alt2', 'alt3', 'alt1']",A > B > C
2,6,4,"['alt3', 'alt1', 'alt2']",A > B > C
2,6,5,"['alt3', 'alt2', 'alt1']",A > B > C
2,7,0,"['alt1', 'alt2', 'alt3']",C > B > A
2,7,1,"['alt1', 'alt3', 'alt2']",C > B > A
2,7,2,"['alt2', 'alt1', 'alt3']",C > A > B
2,7,3,"['alt2', 'alt3', 'alt1']",A > B > C
2,7,4,"['alt3', 'alt1', 'alt2']",A > C > B
2,7,5,"['alt3', 'alt2', 'alt1']",A > B > C
2,8,0,"['alt1', 'alt2', 'alt3']",B > A > C
2,8,1,"['alt1', 'alt3', 'alt2']",C > B > A
2,8,2,"['alt2', 'alt1', 'alt3']",A > C > B
2,8,3,"['alt2', 'alt3', 'alt1']",A > C > B
2,8,4,"['alt3', 'alt1', 'alt2']",C > B > A
2,8,5,"['alt3', 'alt2', 'alt1']",B > A > C
2,9,0,"['alt1', 'alt2', 'alt3']",C > B > A
2,9,1,"['alt1', 'alt3', 'alt2']",B > A > C
